index,fitness,size,has_meta
0,0.721500,562,1
1,0.709100,929,1
2,0.714400,1165,1
3,0.714400,684,1
4,0.714400,981,1
5,0.714400,1048,1
6,0.709100,716,1
7,0.709100,662,1
8,0.709100,688,1
9,0.714400,1530,1
10,0.709100,406,1
11,0.706300,374,1
12,0.714400,705,1
13,0.714400,1037,1
14,0.709100,698,1
15,0.714400,1521,1
16,0.721500,558,1
17,0.714400,1214,1
18,0.709100,698,1
19,0.714400,855,1
20,0.706300,403,1
21,0.714400,1165,1
22,0.714400,694,1
23,0.706300,468,1
24,0.706300,469,1
25,0.706300,402,1
26,0.709100,429,1
27,0.714400,960,1
28,0.714400,855,1
29,0.714400,705,1
30,0.714400,951,1
31,0.714400,1522,1
32,0.709100,746,1
33,0.706300,360,1
34,0.721500,558,1
35,0.714400,1032,1
36,0.709100,634,1
37,0.714400,1826,1
38,0.714400,1035,1
39,0.709100,646,1
40,0.709100,633,1
41,0.709100,758,1
42,0.716000,742,1
43,0.709100,747,1
44,0.709100,692,1
45,0.709100,692,1
46,0.714400,1418,1
47,0.709100,1141,1
48,0.709100,748,1
49,0.714400,1431,1
50,0.706900,798,1
51,0.714400,2068,1
52,0.709100,683,1
53,0.716000,750,1
54,0.714400,1212,1
55,0.709100,744,1
56,0.709100,981,1
57,0.709100,744,1
58,0.714400,1418,1
59,0.714400,1519,1
60,0.709100,1231,1
61,0.714400,1521,1
62,0.709100,407,1
63,0.706300,382,1
64,0.714400,1424,1
65,0.714400,1212,1
66,0.714400,1521,1
67,0.709100,409,1
68,0.709100,692,1
69,0.714400,694,1
70,0.709100,796,1
71,0.714400,692,1
72,0.714400,1424,1
73,0.714400,1037,1
74,0.706300,365,1
75,0.706300,410,1
76,0.714400,969,1
77,0.714400,694,1
78,0.709100,913,1
79,0.709100,749,1
80,0.714400,1165,1
81,0.706300,376,1
82,0.714400,690,1
83,0.709100,1231,1
84,0.709100,754,1
85,0.714400,1032,1
86,0.716000,742,1
87,0.714400,684,1
88,0.709100,913,1
89,0.706300,376,1
90,0.714400,1212,1
91,0.709100,436,1
92,0.709100,634,1
93,0.714400,1511,1
94,0.714400,1214,1
95,0.714400,1035,1
96,0.709100,704,1
97,0.709100,705,1
98,0.714400,1506,1
99,0.709100,692,1
