index,fitness,size,has_meta
0,0.711600,113,1
1,0.676200,59,1
2,0.676200,62,1
3,0.670300,126,1
4,0.674700,212,1
5,0.674700,220,1
6,0.674700,191,1
7,0.674700,83,1
8,0.677500,93,1
9,0.674700,208,1
10,0.674700,81,1
11,0.677500,120,1
12,0.674700,212,1
13,0.674700,208,1
14,0.704100,189,1
15,0.674700,81,1
16,0.704100,189,1
17,0.674700,196,1
18,0.674700,197,1
19,0.674700,193,1
20,0.677500,120,1
21,0.674700,207,1
22,0.677500,89,1
23,0.677700,150,1
24,0.674700,190,1
25,0.676200,55,1
26,0.702500,113,1
27,0.705200,131,1
28,0.677900,100,1
29,0.677500,89,1
30,0.677700,150,1
31,0.702500,83,1
32,0.674700,81,1
33,0.678400,104,1
34,0.677500,108,1
35,0.706300,178,1
36,0.678400,72,1
37,0.674700,190,1
38,0.674700,224,1
39,0.706300,184,1
40,0.702500,84,1
41,0.674700,124,1
42,0.706300,178,1
43,0.674700,190,1
44,0.674700,222,1
45,0.706300,184,1
46,0.711600,113,1
47,0.706300,210,1
48,0.674700,207,1
49,0.702500,83,1
50,0.676200,55,1
51,0.704100,192,1
52,0.674700,208,1
53,0.678400,104,1
54,0.674700,84,1
55,0.678400,104,1
56,0.677700,150,1
57,0.706300,185,1
58,0.702500,83,1
59,0.706300,174,1
60,0.701900,79,1
61,0.674700,124,1
62,0.706300,181,1
63,0.706300,184,1
64,0.674700,222,1
65,0.705200,126,1
66,0.702500,113,1
67,0.677500,108,1
68,0.677500,114,1
69,0.674700,128,1
70,0.677500,85,1
71,0.701900,79,1
72,0.706300,184,1
73,0.711600,124,1
74,0.705200,126,1
75,0.674700,214,1
76,0.674700,208,1
77,0.711600,113,1
78,0.674700,212,1
79,0.674700,195,1
80,0.674700,195,1
81,0.706300,181,1
82,0.674700,195,1
83,0.702500,113,1
84,0.701500,103,1
85,0.674700,81,1
86,0.706300,185,1
87,0.678400,72,1
88,0.704100,188,1
89,0.706300,184,1
90,0.674700,196,1
91,0.711600,124,1
92,0.706300,184,1
93,0.702500,113,1
94,0.674700,212,1
95,0.676200,62,1
96,0.678400,104,1
97,0.706300,178,1
98,0.701500,83,1
99,0.673100,155,1
