index,fitness,size,has_meta
0,0.711600,113,1
1,0.674700,196,1
2,0.705200,108,1
3,0.677500,145,1
4,0.674700,80,1
5,0.677500,138,1
6,0.706300,185,1
7,0.674700,220,1
8,0.706300,185,1
9,0.701500,103,1
10,0.678400,108,1
11,0.701900,79,1
12,0.702500,83,1
13,0.706300,185,1
14,0.320200,53,1
15,0.674700,196,1
16,0.674700,81,1
17,0.706300,272,1
18,0.706300,268,1
19,0.674700,222,1
20,0.706300,185,1
21,0.677900,104,1
22,0.706300,186,1
23,0.680300,209,1
24,0.706300,180,1
25,0.709400,195,1
26,0.677500,114,1
27,0.702500,113,1
28,0.680300,108,1
29,0.701500,103,1
30,0.674700,81,1
31,0.709400,202,1
32,0.671300,77,1
33,0.706300,174,1
34,0.706300,174,1
35,0.705200,108,1
36,0.674700,214,1
37,0.680300,108,1
38,0.706300,268,1
39,0.674700,80,1
40,0.320200,54,1
41,0.702500,82,1
42,0.676200,60,1
43,0.677500,114,1
44,0.706300,182,1
45,0.674700,214,1
46,0.674700,196,1
47,0.706300,215,1
48,0.705200,130,1
49,0.706300,175,1
50,0.706300,175,1
51,0.674700,81,1
52,0.674700,196,1
53,0.677900,104,1
54,0.705200,108,1
55,0.677500,108,1
56,0.677500,138,1
57,0.702500,82,1
58,0.677500,114,1
59,0.677500,138,1
60,0.680300,108,1
61,0.674700,81,1
62,0.674700,220,1
63,0.674700,197,1
64,0.706300,184,1
65,0.677500,93,1
66,0.706300,183,1
67,0.677500,86,1
68,0.677500,89,1
69,0.704100,189,1
70,0.704100,195,1
71,0.674700,196,1
72,0.706300,185,1
73,0.674700,98,1
74,0.674700,80,1
75,0.676200,52,1
76,0.674700,87,1
77,0.672500,257,1
78,0.707200,190,1
79,0.683100,177,1
80,0.677500,112,1
81,0.674700,83,1
82,0.674700,222,1
83,0.680300,108,1
84,0.672500,186,1
85,0.674700,81,1
86,0.702500,99,1
87,0.711600,113,1
88,0.706300,268,1
89,0.706300,185,1
90,0.709100,144,1
91,0.678400,72,1
92,0.705200,108,1
93,0.705200,108,1
94,0.677500,90,1
95,0.705200,134,1
96,0.677500,85,1
97,0.702500,83,1
98,0.676200,60,1
99,0.706300,184,1
