index,fitness,size,has_meta
0,0.716000,339,1
1,0.706300,347,1
2,0.706300,164,1
3,0.706300,298,1
4,0.706300,295,1
5,0.706300,304,1
6,0.706300,168,1
7,0.706300,202,1
8,0.711600,412,1
9,0.706300,180,1
10,0.716000,428,1
11,0.706300,347,1
12,0.711600,292,1
13,0.706300,298,1
14,0.706300,123,1
15,0.716000,339,1
16,0.706300,178,1
17,0.706300,205,1
18,0.706300,298,1
19,0.706300,209,1
20,0.706300,209,1
21,0.709400,175,1
22,0.716000,307,1
23,0.709400,160,1
24,0.716000,337,1
25,0.706300,303,1
26,0.711600,274,1
27,0.706300,298,1
28,0.709400,156,1
29,0.716000,343,1
30,0.716000,307,1
31,0.706300,227,1
32,0.706300,371,1
33,0.709400,183,1
34,0.706300,175,1
35,0.716000,307,1
36,0.716000,307,1
37,0.706300,189,1
38,0.709100,437,1
39,0.706300,176,1
40,0.706300,197,1
41,0.716000,339,1
42,0.706300,236,1
43,0.706300,196,1
44,0.711600,475,1
45,0.709400,163,1
46,0.706300,166,1
47,0.706300,297,1
48,0.706300,125,1
49,0.706300,189,1
50,0.706300,174,1
51,0.706300,169,1
52,0.706300,125,1
53,0.709400,175,1
54,0.706300,217,1
55,0.709100,437,1
56,0.706300,205,1
57,0.706300,295,1
58,0.706300,237,1
59,0.706300,205,1
60,0.706300,216,1
61,0.709100,437,1
62,0.706300,226,1
63,0.706300,209,1
64,0.716000,338,1
65,0.709400,160,1
66,0.706300,169,1
67,0.706300,166,1
68,0.706300,125,1
69,0.706300,304,1
70,0.706300,297,1
71,0.706300,133,1
72,0.716000,339,1
73,0.706300,211,1
74,0.711600,534,1
75,0.706300,167,1
76,0.711600,288,1
77,0.709100,486,1
78,0.706300,297,1
79,0.706300,166,1
80,0.706300,181,1
81,0.706300,227,1
82,0.716000,338,1
83,0.706300,368,1
84,0.706300,303,1
85,0.706300,298,1
86,0.706300,169,1
87,0.706300,380,1
88,0.706300,178,1
89,0.709100,442,1
90,0.706300,200,1
91,0.706300,166,1
92,0.716000,442,1
93,0.706300,347,1
94,0.706300,347,1
95,0.706300,227,1
96,0.706300,347,1
97,0.706300,128,1
98,0.706300,295,1
99,0.706300,175,1
