index,fitness,size,has_meta
0,0.721500,562,1
1,0.706300,366,1
2,0.706300,777,1
3,0.706300,488,1
4,0.706300,569,1
5,0.706300,435,1
6,0.706300,637,1
7,0.706300,202,1
8,0.706300,370,1
9,0.716000,652,1
10,0.706300,342,1
11,0.706300,408,1
12,0.716000,481,1
13,0.709100,431,1
14,0.706300,352,1
15,0.716000,481,1
16,0.706300,364,1
17,0.706300,399,1
18,0.706300,554,1
19,0.706300,371,1
20,0.706300,637,1
21,0.706300,352,1
22,0.704100,361,1
23,0.706300,383,1
24,0.709100,424,1
25,0.709100,412,1
26,0.706300,845,1
27,0.706300,226,1
28,0.706300,618,1
29,0.716000,478,1
30,0.706300,461,1
31,0.706300,353,1
32,0.709100,412,1
33,0.706300,389,1
34,0.709100,420,1
35,0.721500,562,1
36,0.716000,473,1
37,0.721500,563,1
38,0.709100,412,1
39,0.706300,385,1
40,0.706300,462,1
41,0.709100,420,1
42,0.706300,388,1
43,0.706300,198,1
44,0.716000,473,1
45,0.709100,645,1
46,0.709100,486,1
47,0.721500,564,1
48,0.709100,410,1
49,0.706300,435,1
50,0.709100,719,1
51,0.706300,385,1
52,0.709100,747,1
53,0.706300,397,1
54,0.709100,407,1
55,0.706300,383,1
56,0.709100,486,1
57,0.706300,389,1
58,0.706300,374,1
59,0.709100,747,1
60,0.706300,372,1
61,0.716000,763,1
62,0.706300,383,1
63,0.706300,397,1
64,0.716000,478,1
65,0.706300,397,1
66,0.716000,755,1
67,0.709100,428,1
68,0.706300,845,1
69,0.713800,488,1
70,0.709100,410,1
71,0.706300,385,1
72,0.709100,631,1
73,0.706300,407,1
74,0.706300,389,1
75,0.721500,933,1
76,0.714400,848,1
77,0.709100,524,1
78,0.706300,407,1
79,0.716000,541,1
80,0.706300,208,1
81,0.706300,357,1
82,0.706300,559,1
83,0.709100,424,1
84,0.709100,437,1
85,0.706300,382,1
86,0.706300,706,1
87,0.716000,541,1
88,0.706300,353,1
89,0.706300,189,1
90,0.706300,631,1
91,0.706300,399,1
92,0.706300,189,1
93,0.709100,633,1
94,0.706300,385,1
95,0.706300,388,1
96,0.709100,639,1
97,0.721500,562,1
98,0.709100,570,1
99,0.706300,631,1
