index,fitness,size,has_meta
0,0.711600,113,1
1,0.674700,83,1
2,0.672500,204,1
3,0.676200,55,1
4,0.702300,84,1
5,0.701900,91,1
6,0.678400,72,1
7,0.674700,124,1
8,0.674700,83,1
9,0.671600,86,1
10,0.674700,124,1
11,0.709400,111,1
12,0.701900,87,1
13,0.673100,155,1
14,0.706300,174,1
15,0.674700,196,1
16,0.674700,208,1
17,0.673100,163,1
18,0.706300,181,1
19,0.674700,202,1
20,0.674700,82,1
21,0.671300,67,1
22,0.674700,222,1
23,0.672500,174,1
24,0.706300,184,1
25,0.677500,108,1
26,0.702500,83,1
27,0.674700,190,1
28,0.706300,184,1
29,0.711600,113,1
30,0.674700,195,1
31,0.678400,72,1
32,0.706300,181,1
33,0.702500,113,1
34,0.701900,87,1
35,0.673100,163,1
36,0.674700,196,1
37,0.702500,83,1
38,0.290200,56,1
39,0.701900,79,1
40,0.674700,190,1
41,0.677500,88,1
42,0.674700,222,1
43,0.711600,124,1
44,0.711600,113,1
45,0.671600,86,1
46,0.674700,208,1
47,0.674700,84,1
48,0.677500,85,1
49,0.673100,155,1
50,0.674700,212,1
51,0.677500,108,1
52,0.674700,208,1
53,0.674700,81,1
54,0.677500,119,1
55,0.674700,212,1
56,0.702500,83,1
57,0.706300,184,1
58,0.674700,222,1
59,0.678400,104,1
60,0.701500,103,1
61,0.677500,88,1
62,0.702500,83,1
63,0.704100,189,1
64,0.528100,56,1
65,0.702500,83,1
66,0.706300,181,1
67,0.705200,126,1
68,0.676200,66,1
69,0.701900,152,1
70,0.673100,163,1
71,0.674700,124,1
72,0.709400,106,1
73,0.706300,184,1
74,0.671600,86,1
75,0.674700,224,1
76,0.677500,108,1
77,0.673100,163,1
78,0.676200,67,1
79,0.674700,202,1
80,0.674700,214,1
81,0.702500,83,1
82,0.671200,71,1
83,0.674700,208,1
84,0.706300,184,1
85,0.677500,95,1
86,0.680300,108,1
87,0.672500,177,1
88,0.677500,87,1
89,0.671300,77,1
90,0.677500,119,1
91,0.706300,184,1
92,0.678400,72,1
93,0.672900,54,1
94,0.677500,89,1
95,0.674700,193,1
96,0.676200,63,1
97,0.674700,124,1
98,0.677500,108,1
99,0.674700,83,1
