index,fitness,size,has_meta
0,0.711600,113,1
1,0.674700,81,1
2,0.678400,104,1
3,0.674700,222,1
4,0.677500,108,1
5,0.676200,62,1
6,0.706300,186,1
7,0.702500,83,1
8,0.673100,246,1
9,0.677500,138,1
10,0.705200,108,1
11,0.673100,155,1
12,0.674700,220,1
13,0.677500,120,1
14,0.674700,208,1
15,0.706300,184,1
16,0.702500,83,1
17,0.705200,126,1
18,0.677500,114,1
19,0.704100,188,1
20,0.674700,207,1
21,0.674700,195,1
22,0.706300,184,1
23,0.674700,196,1
24,0.705200,126,1
25,0.678400,104,1
26,0.677500,88,1
27,0.676200,63,1
28,0.677500,108,1
29,0.705200,131,1
30,0.674700,190,1
31,0.674700,191,1
32,0.674700,222,1
33,0.704100,192,1
34,0.677500,93,1
35,0.678400,104,1
36,0.706300,181,1
37,0.676200,59,1
38,0.677500,85,1
39,0.674700,81,1
40,0.677500,85,1
41,0.702500,84,1
42,0.674700,195,1
43,0.702500,83,1
44,0.680300,108,1
45,0.674700,214,1
46,0.674700,214,1
47,0.706300,184,1
48,0.711600,124,1
49,0.674700,190,1
50,0.678400,104,1
51,0.674700,208,1
52,0.677500,108,1
53,0.702500,83,1
54,0.701500,83,1
55,0.706300,181,1
56,0.701900,79,1
57,0.705200,126,1
58,0.674700,212,1
59,0.674700,196,1
60,0.672500,235,1
61,0.678400,72,1
62,0.706300,184,1
63,0.706300,184,1
64,0.701500,103,1
65,0.677500,89,1
66,0.702500,83,1
67,0.676200,60,1
68,0.680300,108,1
69,0.674700,190,1
70,0.674700,81,1
71,0.674700,208,1
72,0.676200,62,1
73,0.674700,83,1
74,0.674700,198,1
75,0.704100,189,1
76,0.704100,189,1
77,0.677500,89,1
78,0.702500,113,1
79,0.674700,222,1
80,0.676200,62,1
81,0.706300,185,1
82,0.674700,83,1
83,0.701500,103,1
84,0.706300,185,1
85,0.672500,126,1
86,0.677500,90,1
87,0.709400,197,1
88,0.709400,195,1
89,0.530100,74,1
90,0.701500,83,1
91,0.674700,197,1
92,0.674700,196,1
93,0.674700,222,1
94,0.674700,222,1
95,0.701900,79,1
96,0.677500,108,1
97,0.706300,212,1
98,0.674700,168,1
99,0.706300,268,1
