index,fitness,size,has_meta
0,0.721500,562,1
1,0.706300,420,1
2,0.721500,557,1
3,0.706300,403,1
4,0.706300,825,1
5,0.706300,386,1
6,0.721500,562,1
7,0.706300,418,1
8,0.706300,409,1
9,0.706300,404,1
10,0.706300,367,1
11,0.706300,355,1
12,0.706300,469,1
13,0.709100,758,1
14,0.709100,409,1
15,0.706300,383,1
16,0.721500,556,1
17,0.709100,630,1
18,0.709100,633,1
19,0.706300,472,1
20,0.706300,469,1
21,0.714400,951,1
22,0.706300,399,1
23,0.709100,758,1
24,0.706300,418,1
25,0.714400,693,1
26,0.709100,747,1
27,0.706300,381,1
28,0.706300,381,1
29,0.709100,703,1
30,0.721500,668,1
31,0.714400,951,1
32,0.706300,410,1
33,0.709100,634,1
34,0.706300,354,1
35,0.709100,1053,1
36,0.706300,480,1
37,0.706300,367,1
38,0.706300,354,1
39,0.714400,1024,1
40,0.714400,1047,1
41,0.709100,634,1
42,0.706300,367,1
43,0.709100,751,1
44,0.706300,477,1
45,0.709100,1231,1
46,0.714400,689,1
47,0.714400,691,1
48,0.706300,480,1
49,0.714400,853,1
50,0.714400,1424,1
51,0.716000,750,1
52,0.706300,477,1
53,0.706300,467,1
54,0.714400,959,1
55,0.706300,685,1
56,0.709100,692,1
57,0.721500,576,1
58,0.706300,816,1
59,0.706300,689,1
60,0.709100,412,1
61,0.706300,479,1
62,0.709100,633,1
63,0.714400,690,1
64,0.709100,750,1
65,0.706300,399,1
66,0.706300,685,1
67,0.709100,703,1
68,0.706300,409,1
69,0.706300,399,1
70,0.721500,620,1
71,0.706300,418,1
72,0.709100,402,1
73,0.714400,971,1
74,0.706300,354,1
75,0.714400,959,1
76,0.706300,410,1
77,0.706300,354,1
78,0.709100,692,1
79,0.709100,758,1
80,0.706300,400,1
81,0.706300,369,1
82,0.706300,424,1
83,0.709100,413,1
84,0.706300,400,1
85,0.706300,408,1
86,0.706300,329,1
87,0.709100,410,1
88,0.706300,371,1
89,0.714400,849,1
90,0.709100,703,1
91,0.706300,282,1
92,0.721500,562,1
93,0.714400,1065,1
94,0.721500,562,1
95,0.709100,402,1
96,0.706300,685,1
97,0.709100,634,1
98,0.721500,562,1
99,0.714400,1526,1
