index,fitness,size,has_meta
0,0.702500,87,1
1,0.636600,53,1
2,0.680300,192,1
3,0.674700,184,1
4,0.636600,54,1
5,0.668200,37,1
6,0.670300,120,1
7,0.674700,140,1
8,0.670700,50,1
9,0.670300,117,1
10,0.590800,132,1
11,0.674700,118,1
12,0.672900,96,1
13,0.590800,164,1
14,0.636600,52,1
15,0.674700,200,1
16,0.671200,56,1
17,0.677900,81,1
18,0.680300,192,1
19,0.590800,132,1
20,0.638800,187,1
21,0.636600,52,1
22,0.672900,93,1
23,0.644100,80,1
24,0.638800,187,1
25,0.668200,54,1
26,0.671300,82,1
27,0.680300,188,1
28,0.670700,75,1
29,0.670300,104,1
30,0.670300,104,1
31,0.671600,68,1
32,0.672500,114,1
33,0.590800,181,1
34,0.672500,182,1
35,0.702300,61,1
36,0.672900,72,1
37,0.638400,66,1
38,0.638800,187,1
39,0.674700,208,1
40,0.674700,208,1
41,0.672500,190,1
42,0.672900,93,1
43,0.671300,87,1
44,0.590800,129,1
45,0.671200,72,1
46,0.671300,55,1
47,0.590800,152,1
48,0.590800,152,1
49,0.674700,272,1
50,0.590800,123,1
51,0.702500,87,1
52,0.590800,135,1
53,0.671200,50,1
54,0.670300,92,1
55,0.638400,66,1
56,0.676200,48,1
57,0.590800,143,1
58,0.702500,87,1
59,0.590800,115,1
60,0.671300,55,1
61,0.701900,83,1
62,0.702500,87,1
63,0.674700,99,1
64,0.672900,93,1
65,0.638800,187,1
66,0.674700,194,1
67,0.674700,103,1
68,0.671200,49,1
69,0.680300,182,1
70,0.680300,182,1
71,0.674700,99,1
72,0.590800,132,1
73,0.638400,66,1
74,0.670700,75,1
75,0.671300,82,1
76,0.674700,193,1
77,0.674700,134,1
78,0.636600,59,1
79,0.674700,118,1
80,0.590800,181,1
81,0.671200,49,1
82,0.590600,132,1
83,0.672900,96,1
84,0.590800,129,1
85,0.671200,77,1
86,0.590800,129,1
87,0.671600,64,1
88,0.670700,78,1
89,0.668200,54,1
90,0.671300,82,1
91,0.674700,134,1
92,0.672900,72,1
93,0.680300,188,1
94,0.680300,192,1
95,0.670100,52,1
96,0.636600,55,1
97,0.671200,49,1
98,0.673100,117,1
99,0.638800,167,1
