index,fitness,size,has_meta
0,0.702500,87,1
1,0.590800,162,1
2,0.671600,59,1
3,0.670700,75,1
4,0.671300,86,1
5,0.670300,117,1
6,0.590800,139,1
7,0.636600,53,1
8,0.671600,59,1
9,0.702500,86,1
10,0.671200,71,1
11,0.590800,132,1
12,0.672900,93,1
13,0.680300,192,1
14,0.590800,118,1
15,0.590800,132,1
16,0.671600,59,1
17,0.590800,132,1
18,0.670100,85,1
19,0.671300,55,1
20,0.674700,184,1
21,0.672900,93,1
22,0.590800,118,1
23,0.674700,202,1
24,0.636600,52,1
25,0.590800,139,1
26,0.636600,54,1
27,0.670300,120,1
28,0.638400,66,1
29,0.672900,96,1
30,0.670300,117,1
31,0.671200,49,1
32,0.674700,103,1
33,0.672900,72,1
34,0.677900,81,1
35,0.590600,129,1
36,0.590800,182,1
37,0.702500,87,1
38,0.671200,64,1
39,0.701900,83,1
40,0.590600,132,1
41,0.672900,93,1
42,0.671200,57,1
43,0.674700,118,1
44,0.671200,64,1
45,0.674700,194,1
46,0.590800,175,1
47,0.671200,49,1
48,0.671300,82,1
49,0.590800,152,1
50,0.590800,135,1
51,0.590800,182,1
52,0.671300,82,1
53,0.590800,118,1
54,0.590800,162,1
55,0.636800,71,1
56,0.672500,190,1
57,0.676200,48,1
58,0.590800,106,1
59,0.636600,59,1
60,0.671200,77,1
61,0.590800,181,1
62,0.590800,184,1
63,0.636600,59,1
64,0.702500,87,1
65,0.674700,134,1
66,0.671300,56,1
67,0.638400,66,1
68,0.674700,134,1
69,0.638800,187,1
70,0.638800,187,1
71,0.680300,192,1
72,0.674700,103,1
73,0.674700,201,1
74,0.590800,143,1
75,0.680300,188,1
76,0.636600,58,1
77,0.590800,118,1
78,0.671200,64,1
79,0.671300,56,1
80,0.590800,129,1
81,0.674700,99,1
82,0.674700,208,1
83,0.668200,54,1
84,0.668200,54,1
85,0.674700,201,1
86,0.674700,201,1
87,0.670300,114,1
88,0.644100,80,1
89,0.671300,52,1
90,0.668200,37,1
91,0.590800,118,1
92,0.671200,77,1
93,0.674700,118,1
94,0.671300,56,1
95,0.674700,208,1
96,0.674700,201,1
97,0.672900,72,1
98,0.674700,208,1
99,0.674700,118,1
