index,fitness,size,has_meta
0,0.721500,562,1
1,0.706300,558,1
2,0.706300,377,1
3,0.709100,414,1
4,0.721500,562,1
5,0.706300,559,1
6,0.706300,377,1
7,0.706300,371,1
8,0.706300,734,1
9,0.706300,358,1
10,0.706300,353,1
11,0.706300,399,1
12,0.706300,399,1
13,0.713800,486,1
14,0.709100,487,1
15,0.706300,777,1
16,0.709100,511,1
17,0.709100,506,1
18,0.706300,448,1
19,0.716000,541,1
20,0.706300,383,1
21,0.706300,407,1
22,0.706300,631,1
23,0.709100,424,1
24,0.706300,383,1
25,0.709100,631,1
26,0.706300,631,1
27,0.706300,363,1
28,0.706300,399,1
29,0.709100,506,1
30,0.721500,556,1
31,0.706300,637,1
32,0.706300,209,1
33,0.709100,629,1
34,0.706300,906,1
35,0.706300,385,1
36,0.706300,412,1
37,0.706300,358,1
38,0.721500,562,1
39,0.706300,397,1
40,0.709100,570,1
41,0.706300,349,1
42,0.706300,198,1
43,0.706300,213,1
44,0.706300,382,1
45,0.721500,564,1
46,0.721500,556,1
47,0.709100,486,1
48,0.706300,349,1
49,0.716000,481,1
50,0.706300,209,1
51,0.716000,478,1
52,0.706300,631,1
53,0.709100,500,1
54,0.716000,473,1
55,0.709100,412,1
56,0.706300,389,1
57,0.706300,461,1
58,0.706300,389,1
59,0.706300,366,1
60,0.706300,346,1
61,0.706300,363,1
62,0.706300,637,1
63,0.709100,449,1
64,0.709100,412,1
65,0.721500,562,1
66,0.709100,428,1
67,0.709100,417,1
68,0.706300,188,1
69,0.709100,502,1
70,0.706300,559,1
71,0.706300,368,1
72,0.706300,397,1
73,0.706300,775,1
74,0.706300,198,1
75,0.716000,491,1
76,0.714400,723,1
77,0.716000,645,1
78,0.709100,418,1
79,0.709100,424,1
80,0.721500,573,1
81,0.706300,213,1
82,0.709100,502,1
83,0.706300,244,1
84,0.706300,631,1
85,0.706300,767,1
86,0.706300,198,1
87,0.706300,634,1
88,0.706300,631,1
89,0.709100,506,1
90,0.721500,573,1
91,0.706300,372,1
92,0.716000,478,1
93,0.709100,507,1
94,0.706300,388,1
95,0.706300,408,1
96,0.706300,374,1
97,0.706300,408,1
98,0.709100,645,1
99,0.706300,363,1
