index,fitness,size,has_meta
0,0.711600,113,1
1,0.674700,81,1
2,0.705200,131,1
3,0.674700,214,1
4,0.702500,82,1
5,0.702500,113,1
6,0.676200,59,1
7,0.676200,52,1
8,0.677500,108,1
9,0.674700,81,1
10,0.674700,195,1
11,0.705200,126,1
12,0.701500,103,1
13,0.677500,90,1
14,0.709400,197,1
15,0.680300,205,1
16,0.320200,53,1
17,0.704100,188,1
18,0.705200,110,1
19,0.677500,114,1
20,0.674700,220,1
21,0.677500,89,1
22,0.704100,190,1
23,0.702500,83,1
24,0.674700,196,1
25,0.680300,108,1
26,0.706300,184,1
27,0.677500,120,1
28,0.674700,81,1
29,0.677500,93,1
30,0.706300,185,1
31,0.706300,184,1
32,0.674700,208,1
33,0.706300,268,1
34,0.674700,198,1
35,0.706300,185,1
36,0.677500,138,1
37,0.706300,215,1
38,0.671300,80,1
39,0.677500,89,1
40,0.701900,79,1
41,0.674700,222,1
42,0.674700,234,1
43,0.677500,90,1
44,0.705200,108,1
45,0.678400,108,1
46,0.670300,231,1
47,0.677500,97,1
48,0.674700,196,1
49,0.678400,72,1
50,0.704100,189,1
51,0.702500,83,1
52,0.674700,81,1
53,0.705200,131,1
54,0.674700,190,1
55,0.674700,83,1
56,0.674700,81,1
57,0.705200,131,1
58,0.677500,108,1
59,0.705200,126,1
60,0.705200,108,1
61,0.709400,195,1
62,0.674700,220,1
63,0.675300,254,1
64,0.677700,142,1
65,0.674700,87,1
66,0.674700,81,1
67,0.677500,108,1
68,0.702500,83,1
69,0.706300,185,1
70,0.674700,197,1
71,0.704100,195,1
72,0.674700,80,1
73,0.706300,184,1
74,0.705200,126,1
75,0.677900,104,1
76,0.680300,108,1
77,0.674700,197,1
78,0.702500,82,1
79,0.677500,108,1
80,0.702500,113,1
81,0.706300,268,1
82,0.704100,189,1
83,0.674700,81,1
84,0.676200,60,1
85,0.674700,168,1
86,0.702500,84,1
87,0.674700,222,1
88,0.677500,88,1
89,0.674700,208,1
90,0.530100,74,1
91,0.705200,134,1
92,0.705200,144,1
93,0.674700,222,1
94,0.706300,184,1
95,0.702500,83,1
96,0.674700,214,1
97,0.674700,208,1
98,0.677500,86,1
99,0.704100,189,1
