index,fitness,size,has_meta
0,0.677900,40,1
1,0.590800,123,1
2,0.590600,240,1
3,0.672900,93,1
4,0.590800,144,1
5,0.702500,87,1
6,0.671300,84,1
7,0.670100,121,1
8,0.590800,186,1
9,0.590600,152,1
10,0.590800,159,1
11,0.670100,100,1
12,0.677900,36,1
13,0.671600,63,1
14,0.590800,161,1
15,0.590600,59,1
16,0.590800,165,1
17,0.590800,207,1
18,0.590800,138,1
19,0.590800,154,1
20,0.590600,57,1
21,0.590800,170,1
22,0.590800,161,1
23,0.672900,93,1
24,0.590800,137,1
25,0.590600,237,1
26,0.590800,148,1
27,0.677900,40,1
28,0.672900,110,1
29,0.590800,145,1
30,0.673500,62,1
31,0.670100,73,1
32,0.671200,37,1
33,0.590800,136,1
34,0.676200,36,1
35,0.671300,97,1
36,0.590800,118,1
37,0.590800,143,1
38,0.320200,164,1
39,0.590800,187,1
40,0.671600,63,1
41,0.670300,112,1
42,0.673500,62,1
43,0.677900,46,1
44,0.677900,46,1
45,0.670300,87,1
46,0.590600,198,1
47,0.590800,195,1
48,0.530100,84,1
49,0.674700,197,1
50,0.671200,77,1
51,0.670100,121,1
52,0.636600,58,1
53,0.677900,36,1
54,0.670300,54,1
55,0.590800,157,1
56,0.590800,159,1
57,0.672900,93,1
58,0.320200,156,1
59,0.676200,36,1
60,0.670300,87,1
61,0.676200,36,1
62,0.590800,218,1
63,0.590600,198,1
64,0.590800,136,1
65,0.590800,191,1
66,0.590800,191,1
67,0.590600,59,1
68,0.644100,88,1
69,0.590800,173,1
70,0.671300,85,1
71,0.636600,58,1
72,0.590800,207,1
73,0.670300,87,1
74,0.590600,139,1
75,0.590800,153,1
76,0.671600,62,1
77,0.677900,36,1
78,0.676200,36,1
79,0.676200,36,1
80,0.671300,100,1
81,0.590800,187,1
82,0.677900,48,1
83,0.590800,169,1
84,0.320200,164,1
85,0.590800,159,1
86,0.677900,80,1
87,0.672900,71,1
88,0.672900,63,1
89,0.590600,240,1
90,0.672900,93,1
91,0.590800,145,1
92,0.592600,257,1
93,0.590600,152,1
94,0.670300,87,1
95,0.320200,164,1
96,0.671300,100,1
97,0.590800,186,1
98,0.676200,36,1
99,0.674700,134,1
