index,fitness,size,has_meta
0,0.711600,113,1
1,0.706300,175,1
2,0.706300,215,1
3,0.706300,268,1
4,0.706300,268,1
5,0.706300,215,1
6,0.677500,138,1
7,0.674700,81,1
8,0.706300,268,1
9,0.705200,134,1
10,0.674700,81,1
11,0.675600,85,1
12,0.706300,260,1
13,0.674700,214,1
14,0.674700,82,1
15,0.701900,79,1
16,0.674700,87,1
17,0.677500,114,1
18,0.320200,52,1
19,0.702500,83,1
20,0.702500,113,1
21,0.706300,183,1
22,0.680300,124,1
23,0.674700,214,1
24,0.677500,93,1
25,0.674700,196,1
26,0.674700,83,1
27,0.706300,185,1
28,0.677500,90,1
29,0.674700,197,1
30,0.676200,150,1
31,0.674700,80,1
32,0.674700,197,1
33,0.680300,109,1
34,0.702500,82,1
35,0.702500,86,1
36,0.672500,183,1
37,0.677700,197,1
38,0.677500,108,1
39,0.706300,268,1
40,0.707200,190,1
41,0.677500,85,1
42,0.705200,108,1
43,0.677500,145,1
44,0.674700,81,1
45,0.674700,196,1
46,0.702500,82,1
47,0.671300,77,1
48,0.677500,138,1
49,0.677500,145,1
50,0.674700,197,1
51,0.674700,214,1
52,0.674700,81,1
53,0.678400,108,1
54,0.680300,109,1
55,0.704100,195,1
56,0.705200,108,1
57,0.678400,72,1
58,0.706300,174,1
59,0.677500,114,1
60,0.678400,108,1
61,0.709100,144,1
62,0.702500,113,1
63,0.706300,184,1
64,0.709400,202,1
65,0.706300,184,1
66,0.705200,108,1
67,0.705200,108,1
68,0.706300,182,1
69,0.709100,144,1
70,0.677500,89,1
71,0.674700,197,1
72,0.677900,104,1
73,0.674700,222,1
74,0.680300,108,1
75,0.683100,177,1
76,0.706300,182,1
77,0.677500,86,1
78,0.674700,196,1
79,0.680300,209,1
80,0.674700,98,1
81,0.706300,174,1
82,0.706300,185,1
83,0.711600,113,1
84,0.677500,93,1
85,0.677500,114,1
86,0.704100,195,1
87,0.701900,112,1
88,0.706300,178,1
89,0.706300,183,1
90,0.676200,52,1
91,0.704100,189,1
92,0.706300,272,1
93,0.674700,303,1
94,0.674700,196,1
95,0.711600,113,1
96,0.706300,268,1
97,0.677500,89,1
98,0.677500,85,1
99,0.674700,220,1
