index,fitness,size,has_meta
0,0.721500,562,1
1,0.714400,849,1
2,0.706300,367,1
3,0.721500,684,1
4,0.721500,620,1
5,0.706300,399,1
6,0.714400,1215,1
7,0.709100,408,1
8,0.709100,438,1
9,0.706300,379,1
10,0.706300,400,1
11,0.709100,634,1
12,0.709100,427,1
13,0.721500,556,1
14,0.706300,418,1
15,0.709100,747,1
16,0.706300,400,1
17,0.714400,849,1
18,0.709100,758,1
19,0.709100,423,1
20,0.709100,423,1
21,0.706300,816,1
22,0.706300,382,1
23,0.706300,399,1
24,0.706300,466,1
25,0.721500,668,1
26,0.706300,825,1
27,0.706300,399,1
28,0.709100,427,1
29,0.706300,410,1
30,0.706300,354,1
31,0.709100,705,1
32,0.721500,562,1
33,0.706300,362,1
34,0.709100,692,1
35,0.709100,443,1
36,0.714400,689,1
37,0.714400,1215,1
38,0.714400,951,1
39,0.706300,685,1
40,0.706300,825,1
41,0.706300,825,1
42,0.709100,1231,1
43,0.709100,402,1
44,0.709100,634,1
45,0.714400,953,1
46,0.709100,750,1
47,0.716000,749,1
48,0.709100,634,1
49,0.709100,423,1
50,0.714400,691,1
51,0.709100,703,1
52,0.706300,420,1
53,0.706300,399,1
54,0.709100,758,1
55,0.706300,480,1
56,0.709100,416,1
57,0.714400,952,1
58,0.706300,403,1
59,0.706300,367,1
60,0.706300,685,1
61,0.714400,939,1
62,0.706300,408,1
63,0.709100,1053,1
64,0.709100,423,1
65,0.709100,634,1
66,0.706300,367,1
67,0.714400,849,1
68,0.709100,418,1
69,0.709100,703,1
70,0.706300,472,1
71,0.709100,402,1
72,0.709100,402,1
73,0.709100,634,1
74,0.714400,959,1
75,0.709100,441,1
76,0.709100,634,1
77,0.721500,556,1
78,0.721500,556,1
79,0.706300,477,1
80,0.706300,354,1
81,0.716000,944,1
82,0.706300,469,1
83,0.714400,693,1
84,0.709100,416,1
85,0.721500,576,1
86,0.706300,409,1
87,0.709100,625,1
88,0.714400,955,1
89,0.706300,477,1
90,0.706300,354,1
91,0.714400,853,1
92,0.706300,369,1
93,0.706300,486,1
94,0.714400,959,1
95,0.714400,959,1
96,0.709100,758,1
97,0.706300,481,1
98,0.706300,480,1
99,0.716000,744,1
