index,fitness,size,has_meta
0,0.713200,176,1
1,0.706300,181,1
2,0.706300,265,1
3,0.706300,178,1
4,0.706300,431,1
5,0.706300,158,1
6,0.706300,187,1
7,0.709100,368,1
8,0.706300,187,1
9,0.709100,377,1
10,0.713200,176,1
11,0.706300,186,1
12,0.711600,190,1
13,0.706300,158,1
14,0.706300,296,1
15,0.701500,86,1
16,0.706300,302,1
17,0.709100,368,1
18,0.705200,108,1
19,0.706300,180,1
20,0.706300,217,1
21,0.705200,138,1
22,0.706300,187,1
23,0.706300,262,1
24,0.706300,262,1
25,0.706300,189,1
26,0.706300,183,1
27,0.706300,190,1
28,0.706300,302,1
29,0.706300,265,1
30,0.701500,86,1
31,0.706300,188,1
32,0.706300,172,1
33,0.705200,108,1
34,0.706300,182,1
35,0.713200,176,1
36,0.706900,418,1
37,0.706300,183,1
38,0.701900,233,1
39,0.706300,158,1
40,0.709400,170,1
41,0.706300,174,1
42,0.706300,259,1
43,0.706300,265,1
44,0.707200,242,1
45,0.706300,170,1
46,0.705200,66,1
47,0.706300,339,1
48,0.706300,182,1
49,0.706300,415,1
50,0.704700,169,1
51,0.706300,172,1
52,0.706300,172,1
53,0.709100,377,1
54,0.486700,77,1
55,0.706300,203,1
56,0.711600,187,1
57,0.706300,182,1
58,0.706300,259,1
59,0.706300,187,1
60,0.706300,197,1
61,0.713200,176,1
62,0.706300,265,1
63,0.706300,200,1
64,0.705200,108,1
65,0.706300,158,1
66,0.706300,180,1
67,0.706300,340,1
68,0.706300,192,1
69,0.713200,179,1
70,0.706300,265,1
71,0.706300,172,1
72,0.706300,179,1
73,0.711600,194,1
74,0.711600,190,1
75,0.706300,170,1
76,0.706300,168,1
77,0.706300,311,1
78,0.705200,112,1
79,0.709100,368,1
80,0.706300,340,1
81,0.709400,174,1
82,0.711600,208,1
83,0.706300,271,1
84,0.709400,180,1
85,0.706300,163,1
86,0.709400,162,1
87,0.706300,170,1
88,0.674000,103,1
89,0.706300,183,1
90,0.706300,183,1
91,0.706300,183,1
92,0.706300,187,1
93,0.709100,377,1
94,0.706300,299,1
95,0.709400,170,1
96,0.320200,52,1
97,0.706300,173,1
98,0.706300,200,1
99,0.706300,271,1
