index,fitness,size,has_meta
0,0.716000,339,1
1,0.706300,380,1
2,0.709400,160,1
3,0.709400,175,1
4,0.706300,211,1
5,0.711600,500,1
6,0.711600,160,1
7,0.706300,169,1
8,0.709100,445,1
9,0.711600,177,1
10,0.706300,185,1
11,0.706300,293,1
12,0.706300,169,1
13,0.711600,175,1
14,0.706300,166,1
15,0.709400,161,1
16,0.709100,439,1
17,0.704100,139,1
18,0.704700,171,1
19,0.706300,295,1
20,0.706300,182,1
21,0.711600,311,1
22,0.706300,380,1
23,0.706300,265,1
24,0.706300,195,1
25,0.706300,200,1
26,0.706300,224,1
27,0.706300,241,1
28,0.706300,305,1
29,0.706300,383,1
30,0.706300,213,1
31,0.706300,175,1
32,0.706300,175,1
33,0.706300,386,1
34,0.709100,436,1
35,0.706300,173,1
36,0.706300,132,1
37,0.706300,311,1
38,0.706300,292,1
39,0.706300,305,1
40,0.709100,438,1
41,0.706300,175,1
42,0.706300,176,1
43,0.709100,442,1
44,0.706300,213,1
45,0.706300,171,1
46,0.706300,176,1
47,0.706300,134,1
48,0.711600,161,1
49,0.711600,162,1
50,0.706300,224,1
51,0.706300,305,1
52,0.706300,211,1
53,0.706300,188,1
54,0.706300,175,1
55,0.706300,161,1
56,0.706300,135,1
57,0.711600,324,1
58,0.706300,173,1
59,0.706300,205,1
60,0.706300,244,1
61,0.711600,394,1
62,0.709100,438,1
63,0.706300,284,1
64,0.716000,332,1
65,0.706300,232,1
66,0.704700,126,1
67,0.706300,125,1
68,0.704100,88,1
69,0.706300,174,1
70,0.706300,302,1
71,0.716000,343,1
72,0.711600,175,1
73,0.706300,169,1
74,0.716000,339,1
75,0.716000,337,1
76,0.716000,500,1
77,0.706300,173,1
78,0.706300,295,1
79,0.709400,133,1
80,0.706300,189,1
81,0.711600,177,1
82,0.706300,173,1
83,0.706300,281,1
84,0.706300,297,1
85,0.706300,191,1
86,0.716000,547,1
87,0.706300,155,1
88,0.706300,243,1
89,0.706300,173,1
90,0.706300,176,1
91,0.709100,557,1
92,0.706300,132,1
93,0.716000,500,1
94,0.706300,281,1
95,0.706300,371,1
96,0.716000,339,1
97,0.706300,228,1
98,0.706300,223,1
99,0.706300,213,1
