index,fitness,size,has_meta
0,0.721500,562,1
1,0.714400,853,1
2,0.714400,939,1
3,0.714400,849,1
4,0.709100,705,1
5,0.709100,408,1
6,0.709100,423,1
7,0.709100,727,1
8,0.716000,744,1
9,0.714400,951,1
10,0.709100,1051,1
11,0.706300,354,1
12,0.716000,619,1
13,0.714400,940,1
14,0.709100,418,1
15,0.709100,408,1
16,0.709100,427,1
17,0.709100,703,1
18,0.714400,1215,1
19,0.714400,691,1
20,0.706300,369,1
21,0.721500,563,1
22,0.714400,1215,1
23,0.714400,955,1
24,0.709100,727,1
25,0.714400,849,1
26,0.709100,438,1
27,0.714400,849,1
28,0.709100,727,1
29,0.706300,369,1
30,0.709100,402,1
31,0.709100,634,1
32,0.709100,632,1
33,0.706300,408,1
34,0.714400,959,1
35,0.706300,204,1
36,0.709100,423,1
37,0.706300,471,1
38,0.709100,624,1
39,0.706300,399,1
40,0.706300,200,1
41,0.706300,354,1
42,0.706300,377,1
43,0.709100,748,1
44,0.706300,410,1
45,0.706300,403,1
46,0.709100,402,1
47,0.709100,625,1
48,0.706300,389,1
49,0.709100,408,1
50,0.706300,418,1
51,0.706300,373,1
52,0.706300,685,1
53,0.706300,232,1
54,0.709100,417,1
55,0.706300,825,1
56,0.706300,486,1
57,0.716000,619,1
58,0.721500,556,1
59,0.706300,367,1
60,0.706300,420,1
61,0.714400,965,1
62,0.709100,758,1
63,0.706300,478,1
64,0.706300,367,1
65,0.714400,959,1
66,0.709100,418,1
67,0.709100,1047,1
68,0.706300,199,1
69,0.709100,642,1
70,0.706300,402,1
71,0.706300,825,1
72,0.716000,744,1
73,0.706300,399,1
74,0.706300,466,1
75,0.709100,692,1
76,0.706300,825,1
77,0.706300,477,1
78,0.706300,362,1
79,0.706300,689,1
80,0.709100,632,1
81,0.714400,691,1
82,0.721500,576,1
83,0.709100,441,1
84,0.721500,668,1
85,0.706300,480,1
86,0.716000,743,1
87,0.706300,409,1
88,0.716000,749,1
89,0.706300,354,1
90,0.714400,849,1
91,0.709100,727,1
92,0.709100,406,1
93,0.709100,634,1
94,0.716000,628,1
95,0.706300,825,1
96,0.721500,562,1
97,0.706300,377,1
98,0.706300,340,1
99,0.709100,626,1
