index,fitness,size,has_meta
0,0.709400,111,1
1,0.672500,171,1
2,0.674700,221,1
3,0.702500,83,1
4,0.671200,80,1
5,0.706300,184,1
6,0.671200,78,1
7,0.674700,123,1
8,0.674700,228,1
9,0.702500,94,1
10,0.484800,47,1
11,0.702500,82,1
12,0.671200,60,1
13,0.677900,77,1
14,0.671300,55,1
15,0.674700,83,1
16,0.672900,93,1
17,0.671200,77,1
18,0.674700,134,1
19,0.671300,55,1
20,0.671200,78,1
21,0.671200,81,1
22,0.671300,79,1
23,0.702500,82,1
24,0.677500,85,1
25,0.673100,101,1
26,0.670300,110,1
27,0.677900,97,1
28,0.671300,55,1
29,0.672900,68,1
30,0.672900,71,1
31,0.674700,195,1
32,0.668200,51,1
33,0.672900,72,1
34,0.674700,134,1
35,0.676200,65,1
36,0.290200,30,1
37,0.674700,196,1
38,0.671300,72,1
39,0.709400,111,1
40,0.668200,72,1
41,0.668200,45,1
42,0.674700,217,1
43,0.672900,72,1
44,0.671300,75,1
45,0.709400,127,1
46,0.671200,79,1
47,0.671300,75,1
48,0.672900,93,1
49,0.671300,87,1
50,0.673100,101,1
51,0.671300,77,1
52,0.673100,120,1
53,0.702500,87,1
54,0.671200,78,1
55,0.677700,249,1
56,0.673500,166,1
57,0.674700,83,1
58,0.674700,81,1
59,0.671200,60,1
60,0.702500,90,1
61,0.671300,75,1
62,0.699500,53,1
63,0.677900,101,1
64,0.674700,180,1
65,0.674700,81,1
66,0.677900,97,1
67,0.674700,228,1
68,0.671200,77,1
69,0.486700,31,1
70,0.707600,53,1
71,0.702500,82,1
72,0.705200,107,1
73,0.670300,112,1
74,0.674700,123,1
75,0.671300,55,1
76,0.671600,86,1
77,0.673100,124,1
78,0.674700,229,1
79,0.672900,51,1
80,0.677500,88,1
81,0.672900,96,1
82,0.702500,91,1
83,0.674700,228,1
84,0.672900,115,1
85,0.671300,78,1
86,0.677500,88,1
87,0.701900,151,1
88,0.668200,51,1
89,0.674700,131,1
90,0.671200,63,1
91,0.699500,73,1
92,0.668200,52,1
93,0.671200,84,1
94,0.701900,100,1
95,0.676200,65,1
96,0.672900,51,1
97,0.705200,107,1
98,0.701900,80,1
99,0.672900,70,1
