index,fitness,size,has_meta
0,0.711600,113,1
1,0.706300,175,1
2,0.677500,91,1
3,0.680300,110,1
4,0.706300,180,1
5,0.706300,178,1
6,0.706300,178,1
7,0.706300,202,1
8,0.706300,181,1
9,0.677500,114,1
10,0.677500,134,1
11,0.711600,113,1
12,0.705200,108,1
13,0.706300,207,1
14,0.701900,219,1
15,0.677500,138,1
16,0.706300,268,1
17,0.290200,48,1
18,0.677500,134,1
19,0.677500,86,1
20,0.706300,184,1
21,0.674700,81,1
22,0.680300,109,1
23,0.677500,90,1
24,0.706300,260,1
25,0.705200,134,1
26,0.706300,182,1
27,0.709100,145,1
28,0.702500,77,1
29,0.706300,271,1
30,0.677500,91,1
31,0.674700,222,1
32,0.680300,109,1
33,0.705200,108,1
34,0.677500,138,1
35,0.677500,138,1
36,0.706300,281,1
37,0.706300,268,1
38,0.706300,175,1
39,0.706300,175,1
40,0.678400,66,1
41,0.711600,357,1
42,0.680300,209,1
43,0.706300,175,1
44,0.674700,81,1
45,0.678400,72,1
46,0.678400,66,1
47,0.706300,175,1
48,0.706300,175,1
49,0.677900,104,1
50,0.677900,104,1
51,0.706300,175,1
52,0.683100,177,1
53,0.705200,138,1
54,0.674700,83,1
55,0.678400,70,1
56,0.674700,81,1
57,0.680300,110,1
58,0.677900,103,1
59,0.706300,268,1
60,0.674700,64,1
61,0.711600,113,1
62,0.677500,86,1
63,0.706300,174,1
64,0.590600,113,1
65,0.677500,138,1
66,0.706300,263,1
67,0.705200,134,1
68,0.677500,138,1
69,0.674700,82,1
70,0.674700,222,1
71,0.674700,82,1
72,0.706300,180,1
73,0.677500,138,1
74,0.683100,177,1
75,0.705200,108,1
76,0.677500,89,1
77,0.706300,271,1
78,0.706300,265,1
79,0.676200,52,1
80,0.706300,183,1
81,0.711600,113,1
82,0.711600,113,1
83,0.706300,281,1
84,0.706300,281,1
85,0.706300,174,1
86,0.706300,168,1
87,0.706300,272,1
88,0.677500,114,1
89,0.683100,180,1
90,0.677500,91,1
91,0.709400,202,1
92,0.705200,108,1
93,0.680300,130,1
94,0.701500,86,1
95,0.678400,66,1
96,0.677500,89,1
97,0.677700,165,1
98,0.674700,193,1
99,0.678400,72,1
