index,fitness,size,has_meta
0,0.711600,113,1
1,0.702500,83,1
2,0.707600,53,1
3,0.671300,67,1
4,0.677500,90,1
5,0.671600,86,1
6,0.709400,111,1
7,0.672500,174,1
8,0.702500,113,1
9,0.671600,86,1
10,0.676200,66,1
11,0.671600,86,1
12,0.672500,204,1
13,0.674700,117,1
14,0.671300,84,1
15,0.674700,273,1
16,0.674700,224,1
17,0.677500,119,1
18,0.674700,202,1
19,0.673100,155,1
20,0.702500,83,1
21,0.674700,196,1
22,0.674700,83,1
23,0.671300,78,1
24,0.702500,90,1
25,0.677500,88,1
26,0.702500,83,1
27,0.674700,81,1
28,0.671300,78,1
29,0.676200,66,1
30,0.674700,212,1
31,0.706300,184,1
32,0.674700,124,1
33,0.671300,67,1
34,0.673100,163,1
35,0.674700,224,1
36,0.674700,190,1
37,0.674700,196,1
38,0.674700,124,1
39,0.674700,202,1
40,0.674700,84,1
41,0.672500,174,1
42,0.674700,190,1
43,0.676200,66,1
44,0.677900,177,1
45,0.701900,125,1
46,0.290200,69,1
47,0.676200,66,1
48,0.671300,67,1
49,0.677500,108,1
50,0.709400,111,1
51,0.672500,204,1
52,0.674700,196,1
53,0.671200,71,1
54,0.290200,56,1
55,0.676200,66,1
56,0.672500,170,1
57,0.670300,85,1
58,0.678400,72,1
59,0.672900,54,1
60,0.701900,91,1
61,0.711600,124,1
62,0.673500,117,1
63,0.706300,184,1
64,0.671300,64,1
65,0.707600,53,1
66,0.702500,83,1
67,0.671300,55,1
68,0.711600,113,1
69,0.674700,190,1
70,0.670300,199,1
71,0.674700,222,1
72,0.702500,83,1
73,0.674700,203,1
74,0.674700,190,1
75,0.674700,212,1
76,0.674700,208,1
77,0.701900,152,1
78,0.671300,75,1
79,0.706300,184,1
80,0.706300,181,1
81,0.674700,202,1
82,0.674700,81,1
83,0.678400,78,1
84,0.671600,87,1
85,0.677500,89,1
86,0.671300,77,1
87,0.671600,86,1
88,0.706300,174,1
89,0.674700,83,1
90,0.670300,84,1
91,0.677500,94,1
92,0.672900,54,1
93,0.701900,79,1
94,0.674700,128,1
95,0.701900,87,1
96,0.701900,152,1
97,0.705200,126,1
98,0.674700,222,1
99,0.707200,129,1
