index,fitness,size,has_meta
0,0.721500,562,1
1,0.706300,478,1
2,0.709100,404,1
3,0.709100,427,1
4,0.709100,704,1
5,0.706300,478,1
6,0.709100,402,1
7,0.716000,745,1
8,0.706300,469,1
9,0.709100,436,1
10,0.716000,749,1
11,0.706300,213,1
12,0.721500,563,1
13,0.709100,713,1
14,0.721500,562,1
15,0.714400,943,1
16,0.706300,377,1
17,0.706300,367,1
18,0.709100,636,1
19,0.709100,408,1
20,0.706300,408,1
21,0.714400,849,1
22,0.709100,632,1
23,0.714400,849,1
24,0.709100,418,1
25,0.706300,382,1
26,0.706300,367,1
27,0.706300,478,1
28,0.709100,402,1
29,0.721500,562,1
30,0.721500,562,1
31,0.706300,376,1
32,0.709100,703,1
33,0.721500,556,1
34,0.706300,222,1
35,0.709100,438,1
36,0.714400,965,1
37,0.706300,409,1
38,0.714400,691,1
39,0.709100,423,1
40,0.714400,939,1
41,0.706300,383,1
42,0.716000,744,1
43,0.706300,420,1
44,0.716000,764,1
45,0.706300,375,1
46,0.706300,346,1
47,0.714400,694,1
48,0.709100,692,1
49,0.706300,469,1
50,0.709100,404,1
51,0.709100,758,1
52,0.721500,555,1
53,0.709100,402,1
54,0.706300,525,1
55,0.714400,849,1
56,0.714400,1215,1
57,0.709100,418,1
58,0.706300,200,1
59,0.716000,745,1
60,0.706300,375,1
61,0.706300,382,1
62,0.709100,634,1
63,0.709100,422,1
64,0.706300,408,1
65,0.709100,632,1
66,0.709100,636,1
67,0.706300,372,1
68,0.716000,618,1
69,0.714400,955,1
70,0.714400,955,1
71,0.709100,407,1
72,0.716000,769,1
73,0.706300,409,1
74,0.706300,199,1
75,0.709100,419,1
76,0.706300,373,1
77,0.709100,634,1
78,0.709100,636,1
79,0.706300,408,1
80,0.706300,395,1
81,0.709100,727,1
82,0.706300,401,1
83,0.706300,456,1
84,0.706300,469,1
85,0.709100,748,1
86,0.716000,484,1
87,0.706300,825,1
88,0.709100,713,1
89,0.706300,825,1
90,0.716000,628,1
91,0.706300,367,1
92,0.706300,400,1
93,0.716000,745,1
94,0.706300,354,1
95,0.709100,727,1
96,0.709100,418,1
97,0.716000,628,1
98,0.706300,399,1
99,0.706300,410,1
