index,fitness,size,has_meta
0,0.677900,40,1
1,0.590600,231,1
2,0.590800,145,1
3,0.672900,93,1
4,0.590800,153,1
5,0.590800,202,1
6,0.590800,154,1
7,0.670300,87,1
8,0.671600,83,1
9,0.588600,33,1
10,0.590800,159,1
11,0.636600,58,1
12,0.590800,191,1
13,0.590600,152,1
14,0.590800,187,1
15,0.590800,145,1
16,0.590600,191,1
17,0.673500,62,1
18,0.590600,231,1
19,0.590600,191,1
20,0.590600,191,1
21,0.670100,73,1
22,0.590800,147,1
23,0.590800,218,1
24,0.592600,258,1
25,0.590600,240,1
26,0.590600,240,1
27,0.671200,55,1
28,0.320200,164,1
29,0.636600,58,1
30,0.590800,145,1
31,0.590600,198,1
32,0.590800,218,1
33,0.676200,36,1
34,0.590800,148,1
35,0.672900,93,1
36,0.672900,63,1
37,0.672900,63,1
38,0.590600,344,1
39,0.670100,121,1
40,0.670100,69,1
41,0.677900,40,1
42,0.672900,93,1
43,0.320200,164,1
44,0.590600,152,1
45,0.590800,153,1
46,0.670300,54,1
47,0.590800,159,1
48,0.590800,184,1
49,0.590800,144,1
50,0.590800,144,1
51,0.677900,40,1
52,0.671200,55,1
53,0.670300,51,1
54,0.670300,51,1
55,0.677900,56,1
56,0.590800,186,1
57,0.590800,154,1
58,0.590600,344,1
59,0.670300,66,1
60,0.590600,59,1
61,0.590600,198,1
62,0.670300,66,1
63,0.677900,40,1
64,0.590600,224,1
65,0.590600,344,1
66,0.644100,88,1
67,0.670300,70,1
68,0.670300,112,1
69,0.590600,259,1
70,0.590600,220,1
71,0.590800,169,1
72,0.590800,138,1
73,0.590800,153,1
74,0.671600,46,1
75,0.590800,153,1
76,0.590800,130,1
77,0.590800,153,1
78,0.590800,153,1
79,0.590600,240,1
80,0.671300,100,1
81,0.320200,147,1
82,0.590800,154,1
83,0.670100,100,1
84,0.677900,40,1
85,0.590600,152,1
86,0.677900,40,1
87,0.590800,144,1
88,0.320200,147,1
89,0.590600,116,1
90,0.590800,202,1
91,0.590800,145,1
92,0.590800,207,1
93,0.590800,145,1
94,0.672900,63,1
95,0.676200,36,1
96,0.670100,73,1
97,0.592600,258,1
98,0.636600,58,1
99,0.590800,154,1
